1031.39	1069.76	343.13
1035.43	1070.56	320.88
1039.47	1071.40	301.40
1043.49	1072.31	284.26
1047.50	1073.27	269.10
1051.50	1074.29	255.64
1055.47	1075.38	243.65
1059.43	1076.53	232.98
1063.37	1077.76	223.46
1067.28	1079.05	214.98
1070.00	1080.00	206.32
1075.03	1081.87	195.24
1078.86	1083.40	184.03
1082.66	1085.02	172.80
1086.41	1086.72	161.64
1090.12	1088.52	150.66
1093.78	1090.42	139.94
1097.38	1092.43	129.54
1100.91	1094.56	119.55
1104.37	1096.80	110.02
1107.75	1099.17	101.01
1111.02	1101.68	92.59
1114.18	1104.33	84.80
1117.20	1107.13	77.70
1120.00	1110.00	71.49
1122.78	1113.20	71.56
1125.29	1116.47	72.44
1127.62	1119.87	74.14
1129.75	1123.40	76.67
1131.69	1127.04	80.05
1133.45	1130.77	84.27
1135.01	1134.58	89.35
1136.40	1138.46	95.31
1137.62	1142.40	102.17
1138.68	1146.39	109.95
1139.59	1150.41	118.68
1140.36	1154.46	128.41
1141.00	1158.53	139.17
1141.52	1162.62	151.05
1141.93	1166.73	164.11
1142.23	1170.84	178.45
1142.44	1174.96	194.18
1142.56	1179.08	211.46
1142.60	1183.20	230.46
1142.56	1187.32	251.40
1142.46	1191.45	274.58
1142.30	1195.57	300.34
1142.08	1199.68	329.14
1141.81	1203.80	361.58
1141.49	1207.91	398.42
1141.13	1212.02	440.71
1140.73	1216.12	489.86
1140.29	1220.22	547.88
1139.83	1224.32	617.62
1139.34	1228.41	703.41
1138.82	1232.50	812.01
1138.28	1236.59	954.63
1137.73	1240.68	1151.41
1137.16	1244.76	1442.30
1136.58	1248.84	1919.48
1135.99	1252.92	2854.19
1135.39	1257.00	5541.17
1134.79	1261.08	97503.00
1134.19	1265.16	-6198.75
1133.60	1269.24	-2981.95
1133.01	1273.32	-1949.49
1132.43	1277.41	-1438.18
1131.86	1281.49	-1131.57
1131.30	1285.58	-926.33
1130.76	1289.66	-778.68
1130.25	1293.76	-666.91
1129.76	1297.85	-579.04
1129.30	1301.95	-507.89
1128.87	1306.05	-448.94
1128.48	1310.15	-399.18
1128.13	1314.26	-356.53
1127.83	1318.37	-319.51
1127.59	1322.49	-287.06
1127.40	1326.61	-258.38
1127.28	1330.73	-232.85
1127.23	1334.85	-210.01
1127.26	1338.98	-189.51
1127.38	1343.10	-171.05
1127.60	1347.22	-154.41
1127.94	1351.33	-139.43
1128.39	1355.42	-125.94
1128.98	1359.51	-113.84
1129.71	1363.56	-103.05
1130.61	1367.59	-93.48
1131.68	1371.57	-85.10
1132.94	1375.49	-77.85
1134.41	1379.34	-71.70
1136.10	1383.11	-66.64
1138.02	1386.75	-62.64
1140.00	1390.00	-59.98
1142.57	1393.63	-61.57
1145.17	1396.82	-63.87
1147.98	1399.84	-66.85
1150.97	1402.68	-70.47
1154.12	1405.34	-74.71
1157.41	1407.82	-79.53
1160.83	1410.13	-84.88
1164.35	1412.27	-90.74
1167.97	1414.25	-97.04
1171.67	1416.07	-103.76
1175.44	1417.74	-110.83
1179.27	1419.28	-118.23
1183.15	1420.67	-125.90
1187.07	1421.94	-133.79
1191.03	1423.09	-141.86
1195.02	1424.12	-150.06
1199.04	1425.05	-158.35
1203.08	1425.86	-166.68
1207.14	1426.58	-175.01
1211.22	1427.20	-183.30
1215.31	1427.73	-191.49
1219.41	1428.17	-199.56
1223.51	1428.53	-207.47
1227.63	1428.80	-215.17
1231.75	1429.00	-222.63
1235.87	1429.12	-229.81
1239.99	1429.16	-236.69
1244.11	1429.14	-243.22
1248.24	1429.04	-249.39
1252.36	1428.88	-255.17
1256.47	1428.65	-260.54
1260.59	1428.35	-265.46
1264.69	1427.99	-269.93
1268.80	1427.57	-273.92
1272.89	1427.08	-277.42
1276.98	1426.54	-280.43
1281.06	1425.93	-282.92
1285.13	1425.27	-284.90
1289.19	1424.54	-286.36
1293.23	1423.76	-287.30
1297.27	1422.92	-287.72
1301.30	1422.02	-287.62
1305.31	1421.07	-287.01
1309.30	1420.05	-285.89
1313.29	1418.98	-284.28
1317.25	1417.86	-282.20
1321.20	1416.67	-279.64
1325.13	1415.43	-276.63
1329.04	1414.12	-273.20
1332.94	1412.76	-269.34
1336.81	1411.34	-265.10
1340.66	1409.86	-260.49
1344.48	1408.32	-255.53
1348.28	1406.72	-250.26
1352.05	1405.05	-244.69
1355.79	1403.32	-238.85
1359.51	1401.53	-232.78
1363.19	1399.67	-226.49
1366.83	1397.74	-220.03
1370.00	1396.00	-214.76
1374.01	1393.69	-219.31
1377.55	1391.56	-224.56
1381.04	1389.37	-230.54
1384.49	1387.11	-237.33
1387.90	1384.80	-245.01
1391.27	1382.42	-253.67
1394.61	1380.00	-263.44
1397.90	1377.52	-274.46
1401.16	1374.99	-286.90
